wechat,weibo,others,sales
909.1,24.8,276.8,16.4
1092.5,133.6,183.2,20.9
1208.5,160,2.4,17.4
766.2,56.8,102.4,16.7
467.3,236.8,67.2,14
611.1,39.2,74.4,14
202.5,314.4,360.8,10.4
24.6,239.2,75.2,5.3
442.3,12,240,13.2
1301.3,111.2,29.6,20.9
314.9,164,146.4,11.3
634.7,16.8,212.8,10.3
408.1,79.2,285.6,10.6
560.1,276.8,99.2,15.2
503.7,324.8,505.6,16
1154.8,170.4,240,17.6
1130.2,241.6,162.4,20.2
932.8,360.8,156.8,22.6
958.7,236,74.4,18.4
1044.2,258.4,593.6,19.7
1274.9,80.8,171.2,19.8
550.6,67.2,389.6,11.6
1259,18.4,189.6,16.8
196.1,213.6,280.8,10.1
548.3,228,113.6,14.2
650.2,234.4,100.8,15
81.4,300.8,172.8,8
499.6,114.4,253.6,12.4
1033.8,126.4,399.2,19.8
219.8,376,68,11.6
971.4,344,270.4,21.7
779.4,317.6,301.6,16
1019.2,19.2,124.8,16.6
1141.6,292,578.4,22.2
994.2,43.2,219.2,17.2
986.4,351.2,217.6,22.3
1318.1,338.4,409.6,25.4
300.8,46.4,193.6,12.6
588.8,45.6,250.4,11
1056.1,68.8,69.6,18.4
179.7,328.8,46.4,10.8
1080.2,220,88,18.9
255.7,45.6,237.6,8.7
1011.9,27.2,104.8,16.5
941.4,67.2,211.2,17.9
928.7,263.2,368,19
167.9,308.8,524.8,10.8
271.2,96,344.8,9.7
822.6,86.4,467.2,17.9
1162.1,215.2,44,19.8
596.5,342.4,231.2,16
990.5,268,472,19.4
533.3,117.6,43.2,11.9
1335.9,221.6,14.4,20.7
308.5,292.8,912,12.5
1106.6,392,354.4,25.4
805.4,74.4,51.2,14.8
1002.4,392,25.6,24.7
347.6,213.6,178.4,11.8
443.6,60.8,57.6,13.7
389.9,286.4,394.4,13.3
642.9,214.4,369.6,15.5
243.4,16,171.2,8.1
841.3,168,176,20.5
35.5,311.2,404.8,6.6
85.1,96.8,187.2,6.7
784.9,144.8,245.6,16.4
428.6,39.2,64.8,14
173.8,29.6,110.4,7.6
1037.4,301.6,256,21.5
712.5,20.8,66.4,15.5
172.9,322.4,95.2,10.9
456.8,76.8,28.8,10.7
396.8,94.4,207.2,10.6
1332.7,226.4,345.6,21.4
546.9,156.8,92.8,13.2
857.2,144.8,204.8,19.9
905.9,244.8,309.6,18.3
475.9,45.6,275.2,10.4
959.1,396.8,301.6,23.8
125.1,12.8,165.6,6.9
689.3,330.4,468,16.5
869.5,229.6,145.6,17.3
1195.3,230.4,127.2,20.2
121.9,264,154.4,8.8
343.5,86.4,48,11.9
796.7,180,252,16.1
